<<<<<<< HEAD
﻿title,image,category,description
আতর আলী নাস্তানাবুদ (প্যারাডক্স) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEipTLUn8hcE85q9WXKhSSn1vnq9KRRHMSIaVaFRB09_Zhhyphenhyphen4SkZ4ahyx6wSkxsskaMIljSqPp0UlbwW06ceT4qeVeIOeW08HDuh-khF4kBVNqmLPGU-pFK6IQLXtKwJOsN2SDR_BYMBegLr0gIP-GIWLI5C-7FD0Ef4Ol9ACb-SypIAj3Og6dz57sY6pyjs/s1023/%E0%A6%86%E0%A6%A4%E0%A6%B0-%E0%A6%86%E0%A6%B2%E0%A7%80-%E0%A6%A8%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%AC%E0%A7%81%E0%A6%A6-%E0%A6%86%E0%A6%AC%E0%A7%8D%E0%A6%A6%E0%A7%81%E0%A6%B2-%E0%A6%97%E0%A6%BE%E0%A,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “আতর আলী নাস্তানাবুদ (প্যারাডক্স)” লেখাটির ফিচার্ড ছবি। লেখক: আব্দুল গাফফার রনি; প্রকাশ: ১১ জুলাই ২০২৫।
সম্পাদকীয় - ২০২৩ সংখ্যা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgO9MDHDi2WoveA7RH6DtDL6FZSVfYJ9e92KNyV_J7G35cLdgKjfFbvcpVRxhaNQmvO0eP1s9sr1mStsnsRsxzq_J7BfnWxBV3rtRecOMDIaDn_kO4HgCUEnotBpIQynWMEMXdALJSuOfcdr2Q_BoMCBSEwbSSxPJlZDPknj29ZrySTAJfQq45Wh4MPnYQ0/s1536/Sompadokiyo-2023-Paint-Art-Ningshingche.png,সম্পাদকীয়,নিংশিং চে-তে প্রকাশিত “সম্পাদকীয় - ২০২৩ সংখ্যা” লেখাটির ফিচার্ড ছবি। লেখক: সুরজিত সিংহ শিশির; প্রকাশ: ১০ জুলাই ২০২৫।
শ্রীনন্দকুমার অধিকারী (জীবনী) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhoiLdM-Fsb45RnPo14SULXEbDSqIKGkjjIyUO3niLGDI0n7laDSccAe9u92hgPc0iMtjI-ezXYKVxh2pu2Nd3UmqirW4dB9Zsy6RCgZMZkIHsH6LMYe6yu95Viu_GRUtUUX_k_9uO3VABkJueF8V6W19jYW0lHJuf3mqyWft5YtVxUxTj1TAvS4B-NWo6m/s1053/%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%85%E0%A6%A7%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%80-%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8%E0%A7%80-%E0%A6%B9%E0%A7%,জীবনী,নিংশিং চে-তে প্রকাশিত “শ্রীনন্দকুমার অধিকারী (জীবনী)” লেখাটির ফিচার্ড ছবি। লেখক: শ্রীহেমন্ত কুমার সিংহ; প্রকাশ: ১০ জুলাই ২০২৫।
"রাস, রাখুয়ালর তত্ত্ব কথা — ফিচার্ড ছবি",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhkLg4BnM1yWhrrAXs80XP_Odsmjj2JWZXoI-mcNOQ4aeJHJ1AvaSVihF8IHg-BkBvXyeIiobn1NvkM3t084RnJtcZqPt8vLvSTgZPf2T9Wadp_8KHqqvra-zL2XoF6cBVdTo_nFCmLobNB4KHHPz4vrqyToTv5buPmTVmsOA1agQZ_NM09LS7YqoXC9A3P/s1013/%E0%A6%B0%E0%A6%BE%E0%A6%B8-%E0%A6%B0%E0%A6%BE%E0%A6%96%E0%A7%81%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B2%E0%A6%B0-%E0%A6%A4%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC-%E0%A6%95%E0%A6%A5%E0%A6%BE-%E0%A6%97%E0%A7%80%E0%A6%A4%E0%A6%B6%E0%A7%8D%E0%A6,ধর্ম,"নিংশিং চে-তে প্রকাশিত “রাস, রাখুয়ালর তত্ত্ব কথা” লেখাটির ফিচার্ড ছবি। লেখক: গীতশ্রী শ্রীচন্দ্র মোহন সিংহ; প্রকাশ: ১০ জুলাই ২০২৫।"
ভূমিকা - ২০২৪ সংখ্যা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhwgqOwscIsHLVfVzMThvCrvmZS-9ErRcDEMp5x5VQymylQHUh_KW6IRz_pMSgbcfbpGisNn6OJimS5C9vBM_LUkz7ek-hZf43GeLfLGYRLAcKqCBfgwm8MnRsqoShVJySjJ-0DrLRAkKsq0XJnJ4Oe8x4NCWNZOiqxLUCvWn7tmbmJJ-QikPyCu67sxyvr/s1536/Vumika-Kajal-Singha-Ningshingche-art.jpg,ভুমিকা,নিংশিং চে-তে প্রকাশিত “ভূমিকা - ২০২৪ সংখ্যা” লেখাটির ফিচার্ড ছবি। লেখক: কাজল সিংহ; প্রকাশ: ১০ জুলাই ২০২৫।
ভূমিকা - ২০২৩ সংখ্যা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgTX72ohZrtsiKV6d0Zt_10YRYR_YlWH1yLVpt7jsHGrgMSHdO4Ykv8Ne3lOTThL8j9ZFTgY_pKhOcJWGUYwvGWI9nc4PYHUwLml4zbO20reU2xEANf4BfRKChVSNjuk_TpL0KW8yfD-UNLELszLy3s5skeL-L8KGiZSSbHY2BzkzLjGssBJROutLDsMI0E/s1536/Vhumika-Kajal-Singha-2023.png,ভুমিকা,নিংশিং চে-তে প্রকাশিত “ভূমিকা - ২০২৩ সংখ্যা” লেখাটির ফিচার্ড ছবি। লেখক: কাজল সিংহ; প্রকাশ: ১০ জুলাই ২০২৫।
বিষ্ণুপ্রিয়া মণিপুরী ভাষা আন্দোলন ও ২৩ মে নিয়ে কিছু কথা (পর্ব-২) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhGZp7E3laYB3tkizANGtGNR_Xzr6Yxt-cWgVaNNftf2lGhwkUvxe1v4EWltjut76AlXgHdoBv3R2L3GuN3vvj9WZOSxKJ-V28beN-N-8Zpf4sJdHgVFE_B9zDorU1aC396hz38O482ojqMem6onj5DANxpAoS4LvLslzjpU8zteBZsRH_wCwAEiEdrScNB/s2725/%E0%A7%A7%E0%A7%AF%E0%A7%AD%E0%A7%AA%20%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A3%E0%A7%81%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%20%E0%A6%AE%E0%A6%A3%E0%A6%BF%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%80%20%E0%A6%AD%E0%A6%BE%,ইতিহাস,নিংশিং চে-তে প্রকাশিত “বিষ্ণুপ্রিয়া মণিপুরী ভাষা আন্দোলন ও ২৩ মে নিয়ে কিছু কথা (পর্ব-২)” লেখাটির ফিচার্ড ছবি। লেখক: ড. কাঞ্চনবরণ সিংহ; প্রকাশ: ১০ জুলাই ২০২৫।
কুমারী সুদেষ্ণার ভাস্কর্য,"https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgxJG4WSOndNEaIVbMqdev0stRXhiCSxWqVLb8pIcqAR_AQdPX6qySMRN5nssbWL_VCAsT1moywnPh0Urd_cqLZScD3jptY7fdyal2Dc4b3NKuaa6iB4h7vx_vo1xSbWzG0OxR6PUYA6V-rW4vthxXlAyLXSdDza9PaWwUz8NFSCdiZWGVJF6NfBW0toHta/s2100/%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%80%20%E0%A6%B8%E0%A7%81%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%A3%E0%A6%BE%E2%80%99%E0%A6%B0%20%E0%A6%AD%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AF%20(%E0%A6%A6%E0%A7%81%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%AD%E0%A6%9B%E0%A6%A1%E0%A6%BC%E0%A6%BE,%20%E0%A6%95%E0%A6%B0%E0%A6%BF%E0%A6%AE%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C,%20%E0%A6%87%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BF%E0%A7%9F%E0%A6%BE).jpg",ইতিহাস,"নিংশিং চে-তে প্রকাশিত “বিষ্ণুপ্রিয়া মণিপুরী ভাষা আন্দোলন ও ২৩ মে নিয়ে কিছু কথা (পর্ব-২)” লেখায় ব্যবহৃত দুল্লভছড়া, করিমগঞ্জ, ভারতের কুমারী সুদেষ্ণার ভাস্কর্যের আলোকচিত্র। লেখক: ড. কাঞ্চনবরণ সিংহ; প্রকাশ: ১০ জুলাই ২০২৫।"
বিষ্ণুপ্রিয়া মণিপুরির মালঠেপ সংস্কৃতির উত্‍স — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjNz8MzyAN6dzC9qeIfItc_T3x61emhYk8em84raNqNcQQWlSCUM8Os4UM8wpLEp9Aef3ldl6QLGhjv2bCJIqWoCLsZF2OtF7OeDSBy38W6d9ntWbX7o8wuUOtKUIhoirPQeoXvZYyCy8lSa8BhJd6DA5DSv3x6D5zbiTRO6Cd562p5R3IV_8Z8jFExSbdC/s1536/Manipuri-Malthep-ningshingche.png,ইতিহাস,নিংশিং চে-তে প্রকাশিত “বিষ্ণুপ্রিয়া মণিপুরির মালঠেপ সংস্কৃতির উত্‍স” লেখাটির ফিচার্ড ছবি। লেখক: প্রতাপ সিংহ; প্রকাশ: ১০ জুলাই ২০২৫।
মালঠেপের আসনবিন্যাস,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjKkHDpZCxUoOTp7HLHbpbPFIv8te6UG-ignV9v0s54xtvIYM67QQVj77XPb1hNl2LUAPuPLZzOxyICLtr_RtBlt7Yna9I_ijakgMsDc8XmO_JxcC1lS05UKh_vGY7Gf6MF6t9I56OzraSCkROEkGwJ09qbj6LvOiv0-RKn6lsvX4_dMb4cTdgw0LmoBxit/s2515/Asset%203.jpg,ইতিহাস,নিংশিং চে-তে প্রকাশিত “বিষ্ণুপ্রিয়া মণিপুরির মালঠেপ সংস্কৃতির উত্‍স” লেখায় ব্যবহৃত বিষ্ণুপ্রিয়া মণিপুরি মালঠেপের আসনবিন্যাসের চিত্র। লেখক: প্রতাপ সিংহ; প্রকাশ: ১০ জুলাই ২০২৫।
সম্পাদকীয় - ২০২৪ সংখ্যা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjfzGkfsw1SIDESZV7U5SeeYndy6Dl5llu4BVF9fRUbvu4F0vpsH0ROApUYurk-z3jjjtg64YP4hDSiw_Etq7_flFccIe3JGsFHRwL32Vv_VqE0xtxxUQQH8abbA39GthsP8Vy6Wl4XM-wHZde7FJ_7-UcFlNw3W8VqIWEmGAmyRhrrWJWaJ3GQpDMf_V0r/s1023/Sompadokiyo-Paint-Art-Ningshingche.png,সম্পাদকীয়,নিংশিং চে-তে প্রকাশিত “সম্পাদকীয় - ২০২৪ সংখ্যা” লেখাটির ফিচার্ড ছবি। লেখক: সুরজিত সিংহ শিশির; প্রকাশ: ৯ জুলাই ২০২৫।
ধ্রুব উপাখ্যান — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhz-5sRgQYGCVC8sDhf0STYs55CpvyTz3ssopYXKRJZPun-rCREy4QNVjaGk2t3p-ndW9z9TJLTDd0_2rr6nZFAkRIRScMjC5Cw_NJXsHnZheMN3UTfwvWV3XUDLfGCv7-R1J83agGbqB2seUn5EJ2tjH0g3MkFdeq9jXFBSiLJuPCTtiRT8yjQmpJqyoRM/s1536/%E0%A6%A7%E0%A7%8D%E0%A6%B0%E0%A7%81%E0%A6%AC-%E0%A6%89%E0%A6%AA%E0%A6%BE%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8-%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80-%E0%A6%A8%E0%A6%AC%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%BF%E0%A6,পৌরাণিক কাহিনী,নিংশিং চে-তে প্রকাশিত “ধ্রুব উপাখ্যান” লেখাটির ফিচার্ড ছবি। লেখক: শ্রী নবকুমার সিংহ; প্রকাশ: ৯ জুলাই ২০২৫।
সাডেন ডেথ : আমার সমাজর কাজে ডাঙর আতঙ্ক — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEixc1xqJssmUCrwO54VJtZdRfv-90_7Dv-p_jUisRP6CmWB4TcIQAm-9ISW5EfGXXTYEV2QS5isUHOAMakkU06QBK3uFoSu352iqSf5giNUlIlWU9FP3pzmRC_-Cs1u3Zd9tGGLCyBH8aC-x_iwCe7salBXKJy7DNXeKaSGM-79bgmzv7phDz9vA-l1ykQp/s1023/Sudden-death-manipuri-article-ningshingche.png,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “সাডেন ডেথ : আমার সমাজর কাজে ডাঙর আতঙ্ক” লেখাটির ফিচার্ড ছবি। লেখক: ডা. স্বপন কুমার সিংহ; প্রকাশ: ৮ জুলাই ২০২৫।
হার্ট অ্যাটাক — সতর্কতামূলক প্রসঙ্গচিত্র,https://i.ibb.co.com/XfGRYHZY/1751924380039-680fe567-d4bf-40cb-8b9e-410e5b34436a.png,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “সাডেন ডেথ : আমার সমাজর কাজে ডাঙর আতঙ্ক” লেখায় ব্যবহৃত হার্ট অ্যাটাকের ঝুঁকি নিয়ে সতর্কতামূলক প্রসঙ্গচিত্র। লেখক: ডা. স্বপন কুমার সিংহ; প্রকাশ: ৮ জুলাই ২০২৫।
টমাস আলভা এডিসন — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhHLuq5ySnEikRZzPDtBx1Se-B-yEri8V0sJT8ZmGRVQfxXoJMl1PmeQg7Ww39cRiazfkKko8tuH3QjeIZGdpF_WqIQ5DW9W65AEebkfXCn4OIgi0X7f0sykqv1nBIsUk54-wMQy4KSlv7jwK5Xww3luLyGtqhkrw0vFMbaVQy23UQx7FOqC_YneWgeLMac/s1024/Tomas-Alva-Edision-Biography-NingshingChe.png,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “টমাস আলভা এডিসন” লেখাটির ফিচার্ড ছবি। লেখক: ইমন সিংহ; প্রকাশ: ৮ জুলাই ২০২৫।
টমাস আলভা এডিসন ও গ্রামোফোন — চিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhs1RDLicnuhVo8yO_1HGwQSbrkqEp1Czb7x7yhwORM0cTwMm17EpeunBMBF_2gwNsDU5a2ImCBamCBB6yRIGUW27qzM2iM6u_Zp0gSr6TgFTZmSH1lrm4iIm5cmUny8gp_cWw7ylWh_4a07WUZVzmDk1hwRln2ccKLrgH0EjFFTnwPxpLqSGOLtqOCp28D/s1023/Tomas-Alva-Edision-Gramophone-Art-NingshingChe.png,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “টমাস আলভা এডিসন” লেখায় ব্যবহৃত টমাস আলভা এডিসন ও গ্রামোফোনের প্রসঙ্গচিত্র। লেখক: ইমন সিংহ; প্রকাশ: ৮ জুলাই ২০২৫।
টমাস আলভা এডিসন — প্রতিকৃতি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiJg8TMhLDJ8HIfLrBpnEynCF6HIhruuOgIN4rBEW6eW-02F036Kkn2K-7xD_mU7QuGsUGo6w_UJ1N69pDGzYE9Y2suTSOvTUWEAOfzSF_kLHQnjX4yBDSH5MRCGhlpUbtR4IODw0yLDY2yCtLjGZ8wpwQk4oh9sNRuXIHKT1GCGlpvwFMNIpc7Y6QYiUYK/s1024/Tomas-Alva-Edision-Portrait-Art-NingshingChe.png,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “টমাস আলভা এডিসন” লেখায় ব্যবহৃত টমাস আলভা এডিসনের শিল্পিত প্রতিকৃতি। লেখক: ইমন সিংহ; প্রকাশ: ৮ জুলাই ২০২৫।
জীবনর ট্রেনে (কবিতা) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjI2b1JDpxkN6JtmQRQNx2DLvSptzw-QUUEr4dieiuNCvr6yhA4YGR9J8Zw-9eo-bYSeltqHKsW9PfAcscZaUEqvnI2OikbekzPpmw4iYy89TdH_M3O5fRoP4L11Y4kCgkodKBkj3OaxdoXNkC2BK8AUOSuJTqh8WZxOaHmp6Y76nsR5sYzlydykkmHxAH9/s1017/Train-Kobita-Ningshingche-Kumar-U-Sinha.jpg,কবিতা,নিংশিং চে-তে প্রকাশিত “জীবনর ট্রেনে (কবিতা)” লেখাটির ফিচার্ড ছবি। লেখক: উত্তম কুমার সিংহ; প্রকাশ: ৮ জুলাই ২০২৫।
হুনামানুর আকদিন (গল্প) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg-BuFKtwxaxk8jqZvljjU0dHnhKFqQYs_9ynUktPy-BhjV_ofe9xE-Z2yB68XzEaU9qPCb4sGU-pvtwIMUfMkB87yLtV1iVN-Hw7FnHNOC2J_7Ttik44Mb_1jqMYW4KtEQBFedTCkWZi9ChiErCE3fdkc7T8P46-wmW-7Sda9Eqh4MzcATZhHcjvhwdekJ/s1021/Hunamanur-akdin-golpo-shubhasish-sinha-somir-ningshingche.jpg,সাহিত্য,নিংশিং চে-তে প্রকাশিত “হুনামানুর আকদিন (গল্প)” লেখাটির ফিচার্ড ছবি। লেখক: শুভাশিস সিনহা; প্রকাশ: ৬ জুলাই ২০২৫।
প্রিয় বাবা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgDltYn7CNdVGdRVKDvyRd8SnGvZQdMPa6SfIYTIngvDNb6KKtJ5MiKupCx-4pvmEoqeIioG7dznsWJWzoRUEriAEuxHvG8453lR4qCKuQ0pA5pB-dR6tNy2G7rri0HL9ZKv2B2_QIPtzSAGI0j0y-ErdspACk-8_ZM_qQCa0FRP0m6_i1SRlf39mXcKe6S/s1021/Dr-Ronojit-Singha-Portrait-ningshingche.jpg,স্মৃতিচারণ,নিংশিং চে-তে প্রকাশিত “প্রিয় বাবা” লেখাটির ফিচার্ড ছবি। লেখক: দেবাঞ্জলি সিন্‌হা; প্রকাশ: ৬ জুলাই ২০২৫।
ড. রণজিৎ সিংহের পারিবারিক স্মৃতিচিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgQl5P4BJ4_of2lFJ9nk0P-IbeiVRcO1wnfaZ8hBXW7AFYfSkj90zKuWPBmFCLUS3OZBqa1AXm2oZxFYz6SZgSG5TQgsanIM3OL4LXgXWxlxhamRwJokd8T_pZNG8FIbYOLRnC1ORXplC59Usjz1hCR_wV0otxPYePYHGVRcwJre3lM3qfBdQfayXCxntel/s545/debanjoli-pushpanjoli-dr-ronojit-singha-family-ningshingche.jpg,স্মৃতিচারণ,নিংশিং চে-তে প্রকাশিত “প্রিয় বাবা” লেখায় ব্যবহৃত ড. রণজিৎ সিংহ ও তাঁর পরিবারের স্মৃতিচিত্র। লেখক: দেবাঞ্জলি সিন্‌হা; প্রকাশ: ৬ জুলাই ২০২৫।
মণিপুরী ললিতকলা একাডেমি — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhhu5iBqggFM7kuJU1qB_v228-2TSn8COq8RXX01Oj-BcMl2og6omNovdzdHrjTiWUxVLaEHr7Rp4OEAs1KqSuwnZSD7MOsbxD-Uza3ZMdoKX0bfmB8z_pOVMvmRWthOWeyi6R1zIEw_Um_EuFju4yWTkon6Xyrq4Gv-kVrHfX6Whu17UVep766ws4KbWFG/s1536/manipuri-lalitokola-academy-ningshing-che.jpg,ইতিহাস,নিংশিং চে-তে প্রকাশিত “মণিপুরী ললিতকলা একাডেমি” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ২ জুলাই ২০২৫।
মণিপুরী ললিতকলা একাডেমি — প্রসঙ্গচিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiOvbWmm34cK1E0GQYRKJpVxYKm7H0tvKf0yYY5LXU1zud-HWNzkuCFuEctJbnhpe_JKn7fxJrSNw05CkDgQ2vaa7t3plJd_nkV2ffXYj7Aa3x-yttVM7P4T9zORShEDwA7wvXeE2dKrUP5rZLz82ky6Ad-WZkG0nge6eRz9Wnb_KNgBF-D41bzRVuL7E-L/s1536/manipuri-lalitokola-academy.jpg,ইতিহাস,নিংশিং চে-তে প্রকাশিত “মণিপুরী ললিতকলা একাডেমি” লেখায় ব্যবহৃত মণিপুরী ললিতকলা একাডেমি ভবনের প্রসঙ্গচিত্র। লেখক: নিংশিং চে; প্রকাশ: ২ জুলাই ২০২৫।
ভানুবিল কৃষকপ্রজা লালফামর অমর চারণকবি নবদ্বীপ সিংহ — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhWXeSnxSTzDHXHXS8t7lBtOQed3BP3Hgt1jKAaSxhAc6aUE0d89VjL_MphTPR3JE5u_NJYmR8gfssjP0wbp7rR-Raw9ytsgY2apf4fIJb86r1WmRNWGLRlIg-YJGFSmKsrGd0ppLFDB9AwdFZGRgLEmbUr6sRm9ZixjD7M15UAddSOBrKyKdHMCJGHp8dc/s1023/charon-kobi-nabadip-singha-ningshingche.jpg,জীবনী,নিংশিং চে-তে প্রকাশিত “ভানুবিল কৃষকপ্রজা লালফামর অমর চারণকবি নবদ্বীপ সিংহ” লেখাটির ফিচার্ড ছবি। লেখক: শ্রীহেমন্ত কুমার সিংহ; প্রকাশ: ২ জুলাই ২০২৫।
রবীন্দ্র কীর্তিতে মণিপুর ও মণিপুরি — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiRcw__F0UWir7dVflQu-y4IQcthh4MqOsmR5L54iSlHG0ukCeWSvuEGYY3KvkC25Sf56vQbnaA37P1BxpV8sQYn2t3Oyew-x2AKVkZcWLZstATl_mzdkbmId73MG9M0uoWhM0CnwJWUOvMLAtXT2IL9ojnuwAGLhGC3KU6gC6fi1FQGlq3fHHXb9pSQKIB/s1023/Rabindranath_Tagore_ningshingche.jpg,পর্যালোচনা,নিংশিং চে-তে প্রকাশিত “রবীন্দ্র কীর্তিতে মণিপুর ও মণিপুরি” লেখাটির ফিচার্ড ছবি। লেখক: জিতেন্দ্র কুমার সিংহ; প্রকাশ: ৩০ জুন ২০২৫।
রবীন্দ্রনাথ ও মণিপুরি শিল্পীরা — প্রসঙ্গচিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjENfUtx7N_nqqKXh2G_QTM23C9KNbKgfRrGa9DYA7K2pEPToyCYBNcQ9SENPOOujo-UXerJwfKP7zg24RvzMQv_X_0kAFhETttnCbyWDKH7YZh0v9B5N0VKy8u8u0shX4m27ULeMY0AUbMa89nB6eC1t670NQG5JjzouJenCIi04gRW5c0oNH2HHUB-0Rr/s1023/Rabindranath_Tagore_rare-images_ningshingche.jpg,পর্যালোচনা,নিংশিং চে-তে প্রকাশিত “রবীন্দ্র কীর্তিতে মণিপুর ও মণিপুরি” লেখায় ব্যবহৃত রবীন্দ্রনাথ ও মণিপুরি শিল্পীদের প্রসঙ্গচিত্র। লেখক: জিতেন্দ্র কুমার সিংহ; প্রকাশ: ৩০ জুন ২০২৫।
মণিপুরি নৃত্যে রাধা-কৃষ্ণ — প্রসঙ্গচিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhf9eLyPByhDiT41_tHmrcYOiRsi0JgPf1lT2aI7nTeyOj1qS6Q-vROZ1DijEfMYJsnx74aTLUuKEvso-iLROTLQOFGkHTk3WmQOtzGJwyYJy_jAaU4ip_6q7NPl54hbZYbDUBCo2Ap4zAIM8VxM2Bl1K24HpRMGsG4XBTxd4x7MI8BjdIBOfPn3MbaV_8R/s1021/Radha_Krishna-Manipuri_Nrityam-Rabindranath_Tagore.jpg,পর্যালোচনা,নিংশিং চে-তে প্রকাশিত “রবীন্দ্র কীর্তিতে মণিপুর ও মণিপুরি” লেখায় ব্যবহৃত মণিপুরি নৃত্যে রাধা-কৃষ্ণের প্রসঙ্গচিত্র। লেখক: জিতেন্দ্র কুমার সিংহ; প্রকাশ: ৩০ জুন ২০২৫।
"কৃত্রিম বুদ্ধিমত্তার নুয়া ইঙাল : ইতিহাস, উন্নয়ন বারো ভবিষ্যতর চ্যালেঞ্জ — ফিচার্ড ছবি",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEilPCJA54lPr5dk2Yw_8E3jXrBMkM1xy7Ai_04_8GJlm2JiHZcI-OX97xmUI1kZXh2UgUk0zQey9TirqVeCpRxv2aR54-qnTsoovMavBScsoSISrYCNGEUkrhNYzLLAVkjsA9Zb4nico2uImnNEAw_7zCOCNNF-qdCU3BXgEmNsEXu4ZjeeQ-35LWMIGfMp/s1536/Artificial-Intelligence-Satirtha-Thumbnail.png,বিজ্ঞান ও প্রযুক্তি,"নিংশিং চে-তে প্রকাশিত “কৃত্রিম বুদ্ধিমত্তার নুয়া ইঙাল : ইতিহাস, উন্নয়ন বারো ভবিষ্যতর চ্যালেঞ্জ” লেখাটির ফিচার্ড ছবি। লেখক: সতীর্থ সিনহা; প্রকাশ: ২৯ জুন ২০২৫।"
সম্পাদকীয় - নিংশিং চে - ২০১৬ - ৩য় সংখ্যা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhBbd63sdfTFi2bSwQZg7KAXbfjD1YcBVfALspXvtYJf7Rqnpus9Bt5_2HKn7ZWHvs7XuudkdjyCBJDBxJXiIS2YczYaDQ4jG7YUdGMSq0Z9Wy9D4XORvWsYaIUNNZnyxGB7crDKxTLUVQ/s400/Sompadokiyo+by+Surajit+singha.jpg,সম্পাদকীয়,নিংশিং চে-তে প্রকাশিত “সম্পাদকীয় - নিংশিং চে - ২০১৬ - ৩য় সংখ্যা” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১৭ জুন ২০২৫।
